loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1
3.0,1.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7.0,4.0,9.0,5.0,1.0,0
10.0,2.0,1.0,1.0,45.0,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,14.0,10.0,31.0,14.0,3.0,0
128.0,25.0,12.0,9.0,790.0,5664.24,0.02,54.33,104.25,307757.08,1.89,17097.62,33,58,2,0,36.0,108.0,464.0,326.0,49.0,0
34.0,5.0,5.0,1.0,155.0,856.15,0.05,20.76,41.24,17773.08,0.29,987.39,11,28,16,0,19.0,27.0,96.0,59.0,9.0,0
13.0,3.0,1.0,3.0,49.0,240.44,0.14,7.26,33.1,1746.71,0.08,97.04,0,0,0,0,13.0,17.0,30.0,19.0,5.0,0
10.0,2.0,1.0,1.0,35.0,143.06,0.11,9.0,15.9,1287.55,0.05,71.53,2,4,4,0,9.0,8.0,19.0,16.0,3.0,0
52.0,10.0,3.0,6.0,342.0,2220.21,0.02,46.67,47.58,103609.98,0.74,5756.11,12,25,31,0,36.0,54.0,202.0,140.0,19.0,0
21.0,4.0,1.0,4.0,104.0,567.78,0.06,17.86,31.79,10140.57,0.19,563.36,4,16,19,0,19.0,25.0,57.0,47.0,7.0,0
28.0,3.0,1.0,3.0,148.0,835.29,0.05,18.67,44.75,15592.09,0.28,866.23,2,11,40,0,20.0,30.0,92.0,56.0,5.0,1
6.0,1.0,1.0,1.0,16.0,57.36,0.29,3.5,16.39,200.76,0.02,11.15,0,4,0,0,7.0,5.0,11.0,5.0,1.0,0
177.0,41.0,6.0,23.0,767.0,5580.79,0.02,54.82,101.81,305928.62,1.86,16996.03,63,31,134,0,45.0,110.0,499.0,268.0,60.0,0
14.0,2.0,1.0,2.0,20.0,71.7,0.35,2.86,25.09,204.86,0.02,11.38,0,0,2,0,5.0,7.0,12.0,8.0,3.0,0
13.0,4.0,1.0,4.0,59.0,295.0,0.09,11.03,26.75,3253.68,0.1,180.76,3,8,15,0,15.0,17.0,34.0,25.0,7.0,0
6.0,1.0,1.0,1.0,23.0,92.0,0.19,5.14,17.89,473.14,0.03,26.29,2,7,2,0,9.0,7.0,15.0,8.0,1.0,0
9.0,1.0,1.0,1.0,18.0,62.27,0.44,2.29,27.24,142.33,0.02,7.91,0,0,1,0,4.0,7.0,10.0,8.0,1.0,0
32.0,6.0,1.0,6.0,123.0,686.95,0.08,12.89,53.31,8852.8,0.23,491.82,5,44,42,0,17.0,31.0,76.0,47.0,11.0,0
42.0,7.0,1.0,7.0,263.0,1633.09,0.1,10.16,160.8,16586.02,0.54,921.45,1,0,4,0,10.0,64.0,133.0,130.0,13.0,0
75.0,17.0,9.0,11.0,471.0,3235.94,0.03,38.3,84.48,123948.13,1.08,6886.01,25,15,77,0,33.0,84.0,276.0,195.0,33.0,0
15.0,4.0,4.0,2.0,55.0,264.4,0.08,12.0,22.03,3172.85,0.09,176.27,1,0,1,0,16.0,12.0,37.0,18.0,7.0,0
43.0,4.0,1.0,4.0,267.0,1619.65,0.05,19.2,84.37,31093.83,0.54,1727.43,1,29,31,0,19.0,48.0,170.0,97.0,7.0,0
12.0,1.0,1.0,1.0,29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,5.0,9.0,17.0,12.0,1.0,0
16.0,3.0,1.0,3.0,73.0,358.2,0.11,9.0,39.8,3223.83,0.12,179.1,10,6,9,0,12.0,18.0,46.0,27.0,5.0,0
19.0,4.0,1.0,4.0,134.0,731.56,0.05,18.29,40.01,13377.17,0.24,743.18,3,0,4,0,16.0,28.0,70.0,64.0,7.0,0
14.0,2.0,1.0,1.0,37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10.0,7.0,24.0,13.0,3.0,0
138.0,25.0,1.0,24.0,625.0,4677.38,0.04,27.21,171.89,127275.78,1.56,7070.88,1,58,6,0,32.0,147.0,375.0,250.0,47.0,0
20.0,6.0,6.0,2.0,241.0,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,7,0,23.0,19.0,165.0,76.0,11.0,0
7.0,1.0,1.0,1.0,13.0,43.19,0.4,2.5,17.27,107.96,0.01,6.0,2,2,3,0,5.0,5.0,8.0,5.0,1.0,0
14.0,2.0,1.0,1.0,51.0,239.72,0.11,9.5,25.23,2277.36,0.08,126.52,2,7,7,0,13.0,13.0,32.0,19.0,3.0,0
8.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5.0,3.0,6.0,3.0,1.0,0
48.0,6.0,5.0,4.0,279.0,1758.75,0.04,24.77,71.01,43561.75,0.59,2420.1,25,13,40,0,25.0,54.0,172.0,107.0,11.0,0
10.0,4.0,1.0,3.0,28.0,109.39,0.18,5.69,19.23,622.17,0.04,34.57,2,2,20,0,7.0,8.0,15.0,13.0,7.0,0
6.0,1.0,1.0,1.0,19.0,70.31,0.29,3.43,20.51,241.06,0.02,13.39,0,0,0,0,6.0,7.0,11.0,8.0,1.0,0
65.0,12.0,3.0,8.0,263.0,1653.06,0.07,15.19,108.84,25107.55,0.55,1394.86,0,34,17,0,17.0,61.0,154.0,109.0,23.0,0
22.0,5.0,1.0,2.0,114.0,602.54,0.05,22.11,27.26,13319.21,0.2,739.96,10,22,6,0,20.0,19.0,72.0,42.0,9.0,0
32.0,6.0,4.0,2.0,95.0,498.55,0.04,22.85,21.82,11393.4,0.17,632.97,2,14,10,0,21.0,17.0,58.0,37.0,11.0,0
6.0,1.0,1.0,1.0,15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,0,0,8.0,5.0,10.0,5.0,1.0,0
11.0,1.0,1.0,1.0,29.0,116.0,0.09,10.83,10.71,1256.67,0.04,69.81,0,3,0,0,10.0,6.0,16.0,13.0,1.0,0
12.0,3.0,1.0,2.0,106.0,525.14,0.06,18.12,28.99,9514.39,0.18,528.58,7,9,15,0,14.0,17.0,62.0,44.0,5.0,0
20.0,4.0,4.0,2.0,47.0,215.49,0.06,16.0,13.47,3447.89,0.07,191.55,0,0,3,0,16.0,8.0,31.0,16.0,7.0,0
14.0,5.0,1.0,3.0,41.0,185.47,0.07,15.0,12.36,2781.99,0.06,154.56,4,5,9,0,15.0,8.0,25.0,16.0,8.0,0
3.0,1.0,1.0,1.0,11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,3,7,0,7.0,2.0,9.0,2.0,1.0,0
34.0,6.0,1.0,3.0,135.0,745.68,0.08,12.6,59.16,9398.15,0.25,522.12,0,8,6,0,17.0,29.0,92.0,43.0,11.0,0
11.0,3.0,1.0,1.0,49.0,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12.0,9.0,27.0,22.0,5.0,0
7.0,2.0,1.0,2.0,25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9.0,8.0,14.0,11.0,3.0,0
13.0,1.0,1.0,1.0,69.0,298.21,0.06,15.5,19.24,4622.3,0.1,256.79,0,6,5,0,10.0,10.0,38.0,31.0,1.0,0
7.0,2.0,1.0,2.0,25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9.0,8.0,14.0,11.0,3.0,0
60.0,13.0,1.0,6.0,155.0,919.26,0.07,13.9,66.12,12780.02,0.31,710.0,4,15,0,0,20.0,41.0,98.0,57.0,19.0,0
6.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,4.0,3.0,5.0,3.0,1.0,0
6.0,2.0,1.0,2.0,27.0,112.59,0.16,6.29,17.91,707.7,0.04,39.32,2,6,4,0,11.0,7.0,19.0,8.0,3.0,0
7.0,1.0,1.0,1.0,11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,1,4,0,7.0,2.0,9.0,2.0,1.0,0
19.0,2.0,1.0,2.0,62.0,312.75,0.11,9.41,33.23,2943.55,0.1,163.53,0,3,1,0,16.0,17.0,42.0,20.0,3.0,0
9.0,5.0,5.0,1.0,31.0,124.0,0.16,6.43,19.29,797.14,0.04,44.29,0,0,0,0,9.0,7.0,21.0,10.0,9.0,0
49.0,7.0,1.0,5.0,229.0,1341.48,0.07,13.6,98.6,18250.34,0.45,1013.91,6,4,3,0,15.0,43.0,151.0,78.0,13.0,1
50.0,10.0,10.0,9.0,136.0,733.36,0.09,11.21,65.44,8218.63,0.24,456.59,0,0,12,0,13.0,29.0,86.0,50.0,19.0,0
143.0,13.0,1.0,12.0,695.0,4996.93,0.04,28.52,175.18,142535.33,1.67,7918.63,11,57,93,0,24.0,122.0,405.0,290.0,25.0,1
16.0,4.0,4.0,1.0,135.0,675.0,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,17.0,15.0,92.0,43.0,7.0,0
9.0,1.0,1.0,1.0,36.0,140.65,0.12,8.25,17.05,1160.35,0.05,64.45,0,5,3,0,9.0,6.0,25.0,11.0,1.0,0
12.0,2.0,1.0,1.0,100.0,516.99,0.07,15.21,33.99,7863.73,0.17,436.87,8,14,8,0,17.0,19.0,66.0,34.0,3.0,0
8.0,2.0,1.0,1.0,12.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,1,6,3,0,6.0,4.0,7.0,5.0,3.0,0
13.0,2.0,1.0,1.0,41.0,174.17,0.1,9.63,18.1,1676.34,0.06,93.13,0,0,3,0,11.0,8.0,27.0,14.0,3.0,0
16.0,3.0,1.0,2.0,70.0,353.11,0.13,7.71,45.77,2723.97,0.12,151.33,2,18,10,0,12.0,21.0,43.0,27.0,5.0,0
24.0,4.0,3.0,3.0,107.0,587.63,0.05,19.13,30.72,11241.58,0.2,624.53,1,7,4,0,22.0,23.0,67.0,40.0,7.0,1
21.0,3.0,1.0,3.0,214.0,1207.79,0.04,26.67,45.29,32207.61,0.4,1789.31,1,10,7,0,20.0,30.0,134.0,80.0,5.0,0
38.0,4.0,3.0,1.0,153.0,892.43,0.07,14.75,60.5,13163.37,0.3,731.3,3,35,2,0,19.0,38.0,94.0,59.0,7.0,0
4.0,1.0,1.0,1.0,7.0,16.25,0.67,1.5,10.84,24.38,0.01,1.35,0,0,0,0,3.0,2.0,5.0,2.0,1.0,0
11.0,2.0,1.0,1.0,32.0,130.8,0.08,12.0,10.9,1569.59,0.04,87.2,2,2,3,0,12.0,5.0,22.0,10.0,3.0,0
8.0,1.0,1.0,1.0,24.0,88.81,0.14,7.2,12.33,639.44,0.03,35.52,0,0,0,0,8.0,5.0,15.0,9.0,1.0,0
33.0,6.0,1.0,5.0,172.0,989.84,0.05,18.46,53.63,18269.63,0.33,1014.98,7,30,31,0,19.0,35.0,104.0,68.0,11.0,1
172.0,25.0,15.0,24.0,750.0,5588.41,0.04,22.99,243.12,128457.87,1.86,7136.55,20,56,77,0,27.0,148.0,498.0,252.0,49.0,0
17.0,3.0,1.0,3.0,102.0,535.29,0.07,14.57,36.74,7799.92,0.18,433.33,2,2,9,0,17.0,21.0,66.0,36.0,5.0,0
5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3.0,2.0,3.0,2.0,1.0,0
5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,3.0,2.0,3.0,2.0,1.0,0
20.0,3.0,1.0,3.0,71.0,351.75,0.1,10.29,34.17,3620.93,0.12,201.16,0,0,5,0,14.0,17.0,46.0,25.0,5.0,0
32.0,2.0,1.0,2.0,214.0,1284.0,0.05,18.78,68.36,24116.87,0.43,1339.83,1,8,12,0,18.0,46.0,118.0,96.0,3.0,0
15.0,2.0,1.0,1.0,40.0,183.4,0.09,10.64,17.24,1950.69,0.06,108.37,0,7,7,0,13.0,11.0,22.0,18.0,3.0,0
5.0,1.0,1.0,1.0,14.0,53.3,0.22,4.5,11.85,239.86,0.02,13.33,3,0,1,0,9.0,5.0,9.0,5.0,1.0,0
23.0,7.0,5.0,1.0,105.0,474.97,0.04,27.22,17.45,12929.85,0.16,718.32,10,17,23,0,14.0,9.0,70.0,35.0,13.0,0
6.0,1.0,1.0,1.0,13.0,44.97,0.29,3.5,12.85,157.4,0.01,8.74,0,0,0,0,7.0,4.0,9.0,4.0,1.0,0
25.0,5.0,1.0,4.0,100.0,552.36,0.05,20.16,27.4,11135.5,0.18,618.64,2,0,5,0,21.0,25.0,52.0,48.0,9.0,0
5.0,1.0,1.0,1.0,14.0,51.81,0.22,4.5,11.51,233.13,0.02,12.95,2,0,1,0,9.0,4.0,10.0,4.0,1.0,0
24.0,4.0,1.0,4.0,91.0,466.76,0.06,16.94,27.55,7907.54,0.16,439.31,3,2,5,0,18.0,17.0,59.0,32.0,7.0,0
27.0,4.0,1.0,3.0,75.0,360.55,0.09,11.7,30.82,4218.45,0.12,234.36,0,3,9,0,13.0,15.0,48.0,27.0,7.0,0
9.0,2.0,1.0,2.0,26.0,108.42,0.18,5.5,19.71,596.3,0.04,33.13,0,2,3,0,9.0,9.0,15.0,11.0,3.0,0
16.0,3.0,3.0,1.0,33.0,144.95,0.09,10.56,13.72,1531.0,0.05,85.06,1,0,4,0,13.0,8.0,20.0,13.0,5.0,0
14.0,1.0,1.0,1.0,49.0,196.0,0.36,2.77,70.78,542.77,0.07,30.15,0,0,0,0,3.0,13.0,25.0,24.0,1.0,0
47.0,13.0,3.0,2.0,150.0,863.23,0.04,27.86,30.99,24047.21,0.29,1335.96,7,14,20,0,26.0,28.0,90.0,60.0,21.0,0
47.0,3.0,1.0,1.0,150.0,937.19,0.06,15.65,59.87,14671.27,0.31,815.07,0,39,14,0,21.0,55.0,68.0,82.0,5.0,0
47.0,10.0,9.0,7.0,318.0,1980.76,0.05,18.86,105.02,37359.42,0.66,2075.52,6,7,8,0,21.0,54.0,221.0,97.0,19.0,0
7.0,1.0,1.0,1.0,10.0,33.22,0.33,3.0,11.07,99.66,0.01,5.54,0,0,0,0,6.0,4.0,6.0,4.0,1.0,0
9.0,3.0,1.0,1.0,41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11.0,7.0,23.0,18.0,5.0,0
14.0,3.0,1.0,2.0,56.0,266.27,0.12,8.62,30.91,2294.05,0.09,127.45,4,8,7,0,14.0,13.0,40.0,16.0,5.0,0
10.0,1.0,1.0,1.0,22.0,69.74,0.18,5.63,12.4,392.28,0.02,21.79,0,0,0,0,5.0,4.0,13.0,9.0,1.0,0
12.0,2.0,1.0,2.0,33.0,142.62,0.16,6.11,23.34,871.59,0.05,48.42,0,4,4,0,11.0,9.0,23.0,10.0,3.0,0
27.0,3.0,1.0,1.0,130.0,744.63,0.08,12.04,61.85,8964.95,0.25,498.05,0,39,12,0,15.0,38.0,69.0,61.0,5.0,0
15.0,3.0,1.0,3.0,36.0,147.15,0.06,18.0,8.17,2648.68,0.05,147.15,0,0,3,0,12.0,5.0,21.0,15.0,5.0,0
15.0,2.0,1.0,1.0,42.0,178.41,0.1,9.63,18.54,1717.22,0.06,95.4,0,0,3,0,11.0,8.0,28.0,14.0,3.0,0
6.0,1.0,1.0,1.0,21.0,84.0,0.17,5.79,14.52,486.0,0.03,27.0,3,2,5,0,9.0,7.0,12.0,9.0,1.0,0
18.0,3.0,1.0,3.0,60.0,297.25,0.11,9.47,31.39,2815.15,0.1,156.4,3,34,14,0,14.0,17.0,37.0,23.0,5.0,1
165.0,29.0,27.0,22.0,1118.0,8593.51,0.02,42.76,200.98,367446.53,2.86,20413.7,61,32,48,0,32.0,174.0,653.0,465.0,57.0,0
9.0,1.0,1.0,1.0,14.0,46.51,0.21,4.67,9.97,217.03,0.02,12.06,0,0,4,0,7.0,3.0,10.0,4.0,1.0,0
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,0
8.0,2.0,1.0,1.0,25.0,106.2,0.16,6.19,17.16,657.1,0.04,36.51,0,5,3,0,11.0,8.0,16.0,9.0,3.0,0
25.0,3.0,1.0,3.0,120.0,684.05,0.07,14.11,48.49,9649.29,0.23,536.07,2,16,19,0,19.0,33.0,71.0,49.0,5.0,0
9.0,3.0,3.0,1.0,19.0,70.31,0.21,4.8,14.65,337.48,0.02,18.75,0,0,0,0,8.0,5.0,13.0,6.0,5.0,0
20.0,3.0,1.0,3.0,64.0,330.88,0.1,10.5,31.51,3474.19,0.11,193.01,2,19,8,0,18.0,18.0,43.0,21.0,5.0,1
70.0,13.0,7.0,9.0,355.0,2263.14,0.04,27.86,81.22,63061.03,0.75,3503.39,6,15,25,0,24.0,59.0,218.0,137.0,25.0,0
5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,1,3,0,4.0,3.0,4.0,3.0,1.0,0
6.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,0
361.0,70.0,27.0,46.0,1844.0,15345.64,0.01,97.73,157.03,1499684.32,5.12,83315.8,37,191,164,0,69.0,251.0,1133.0,711.0,110.0,0
23.0,7.0,5.0,1.0,157.0,770.38,0.04,28.12,27.4,21659.58,0.26,1203.31,10,17,23,0,17.0,13.0,114.0,43.0,13.0,0
104.0,18.0,13.0,7.0,372.0,2414.97,0.02,41.38,58.36,99929.77,0.8,5551.65,5,70,38,0,32.0,58.0,222.0,150.0,35.0,0
11.0,1.0,1.0,1.0,22.0,73.08,0.47,2.14,34.11,156.61,0.02,8.7,0,0,0,0,3.0,7.0,12.0,10.0,1.0,0
27.0,8.0,4.0,6.0,93.0,484.48,0.07,13.74,35.27,6655.21,0.16,369.73,14,22,9,0,18.0,19.0,64.0,29.0,15.0,0
26.0,8.0,8.0,1.0,210.0,1125.09,0.04,23.02,48.87,25900.42,0.38,1438.91,0,5,3,0,17.0,24.0,145.0,65.0,15.0,0
6.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,0
30.0,5.0,1.0,5.0,189.0,1061.18,0.07,13.61,78.0,14437.64,0.35,802.09,1,0,2,0,11.0,38.0,95.0,94.0,9.0,0
5.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,3,3,2,0,4.0,1.0,4.0,1.0,1.0,0
12.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,0
22.0,4.0,3.0,2.0,64.0,310.91,0.07,14.77,21.05,4591.91,0.1,255.11,0,0,5,0,16.0,13.0,40.0,24.0,7.0,0
17.0,2.0,1.0,2.0,103.0,505.41,0.11,9.27,54.5,4686.53,0.17,260.36,1,0,1,0,8.0,22.0,52.0,51.0,3.0,0
25.0,4.0,1.0,3.0,97.0,480.56,0.04,22.46,21.39,10795.37,0.16,599.74,0,15,16,0,17.0,14.0,60.0,37.0,7.0,0
9.0,3.0,1.0,1.0,41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11.0,7.0,23.0,18.0,5.0,0
25.0,4.0,1.0,1.0,95.0,475.0,0.07,15.0,31.67,7125.0,0.16,395.83,0,8,7,0,16.0,16.0,65.0,30.0,7.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0
15.0,4.0,1.0,2.0,109.0,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,7,10,10,0,24.0,19.0,68.0,41.0,7.0,0
47.0,3.0,1.0,3.0,256.0,1563.78,0.04,28.0,55.85,43785.9,0.52,2432.55,2,13,2,0,23.0,46.0,144.0,112.0,5.0,1
24.0,6.0,6.0,2.0,72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0,0,3,0,16.0,12.0,46.0,26.0,11.0,0
7.0,2.0,1.0,2.0,25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9.0,8.0,14.0,11.0,3.0,0
16.0,4.0,1.0,2.0,91.0,474.06,0.05,19.41,24.42,9202.35,0.16,511.24,1,1,5,0,20.0,17.0,58.0,33.0,7.0,0
22.0,4.0,4.0,4.0,75.0,381.56,0.07,13.42,28.43,5120.93,0.13,284.5,5,10,19,0,15.0,19.0,41.0,34.0,7.0,0
17.0,1.0,1.0,1.0,49.0,221.65,0.26,3.88,57.09,860.54,0.07,47.81,0,9,1,0,6.0,17.0,27.0,22.0,1.0,0
85.0,32.0,12.0,10.0,589.0,4031.99,0.02,51.47,78.34,207526.23,1.34,11529.23,53,27,156,0,32.0,83.0,322.0,267.0,63.0,0
423.0,96.0,27.0,63.0,2075.0,17124.28,0.01,125.77,136.16,2153690.63,5.71,119649.48,80,165,81,0,72.0,233.0,1261.0,814.0,162.0,0
107.0,18.0,9.0,10.0,516.0,3366.16,0.02,64.92,51.85,218524.86,1.12,12140.27,9,73,51,0,37.0,55.0,323.0,193.0,35.0,1
9.0,3.0,1.0,1.0,41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11.0,7.0,23.0,18.0,5.0,0
16.0,3.0,3.0,1.0,40.0,169.92,0.17,5.85,29.05,994.02,0.06,55.22,0,0,3,0,9.0,10.0,27.0,13.0,5.0,0
58.0,10.0,5.0,1.0,187.0,1038.71,0.03,33.52,30.99,34816.7,0.35,1934.26,6,6,9,0,21.0,26.0,104.0,83.0,19.0,1
16.0,3.0,1.0,3.0,82.0,427.18,0.07,15.16,28.18,6475.08,0.14,359.73,8,4,33,0,18.0,19.0,50.0,32.0,5.0,0
29.0,4.0,1.0,3.0,151.0,912.7,0.05,18.53,49.27,16907.83,0.3,939.32,7,6,18,0,26.0,40.0,94.0,57.0,6.0,0
6.0,2.0,1.0,2.0,27.0,112.59,0.16,6.29,17.91,707.7,0.04,39.32,2,6,4,0,11.0,7.0,19.0,8.0,3.0,0
20.0,3.0,1.0,1.0,36.0,147.15,0.07,14.67,10.03,2158.18,0.05,119.9,0,0,5,0,11.0,6.0,20.0,16.0,5.0,0
91.0,18.0,7.0,16.0,591.0,4176.06,0.05,21.41,195.05,89412.4,1.39,4967.36,4,18,4,0,22.0,112.0,373.0,218.0,35.0,1
8.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,5.0,3.0,6.0,3.0,1.0,0
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,0
31.0,4.0,1.0,2.0,141.0,829.45,0.05,21.52,38.55,17846.19,0.28,991.46,1,19,15,0,27.0,32.0,90.0,51.0,7.0,1
9.0,1.0,1.0,1.0,18.0,68.53,0.2,5.0,13.71,342.66,0.02,19.04,0,0,1,0,10.0,4.0,14.0,4.0,1.0,0
44.0,6.0,1.0,4.0,380.0,2490.74,0.03,34.84,71.49,86774.3,0.83,4820.79,18,28,33,0,32.0,62.0,245.0,135.0,11.0,0
411.0,73.0,30.0,41.0,1500.0,12749.77,0.02,43.41,293.68,553518.63,4.25,30751.03,45,339,42,0,48.0,314.0,932.0,568.0,141.0,1
31.0,5.0,4.0,4.0,110.0,604.1,0.06,17.25,35.02,10420.79,0.2,578.93,3,15,19,0,23.0,22.0,77.0,33.0,9.0,0
22.0,2.0,1.0,2.0,81.0,421.97,0.09,11.48,36.77,4842.06,0.14,269.0,0,12,1,0,17.0,20.0,54.0,27.0,3.0,0
6.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,0
27.0,5.0,1.0,4.0,159.0,888.01,0.05,20.7,42.9,18381.79,0.3,1021.21,8,19,17,0,23.0,25.0,114.0,45.0,9.0,0
98.0,10.0,10.0,7.0,486.0,3428.87,0.04,27.25,125.84,93428.15,1.14,5190.45,6,57,49,0,32.0,101.0,314.0,172.0,19.0,0
18.0,3.0,1.0,1.0,47.0,215.49,0.12,8.03,26.81,1732.23,0.07,96.24,4,0,2,0,11.0,13.0,28.0,19.0,4.0,0
7.0,1.0,1.0,1.0,13.0,43.19,0.4,2.5,17.27,107.96,0.01,6.0,2,2,3,0,5.0,5.0,8.0,5.0,1.0,0
196.0,37.0,21.0,26.0,1177.0,9135.35,0.01,71.54,127.7,653537.1,3.05,36307.62,14,170,155,0,52.0,165.0,723.0,454.0,71.0,1
15.0,4.0,1.0,4.0,55.0,267.19,0.08,13.07,20.45,3491.27,0.09,193.96,1,0,1,0,14.0,15.0,27.0,28.0,7.0,0
154.0,17.0,10.0,13.0,695.0,5143.61,0.03,38.57,133.35,198396.43,1.71,11022.02,20,119,26,0,36.0,133.0,410.0,285.0,28.0,0
6.0,1.0,1.0,1.0,35.0,143.06,0.15,6.75,21.19,965.66,0.05,53.65,6,0,4,0,9.0,8.0,23.0,12.0,1.0,0
55.0,14.0,9.0,5.0,366.0,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31.0,43.0,228.0,138.0,27.0,0
121.0,15.0,3.0,12.0,537.0,3817.28,0.04,23.26,164.09,88801.93,1.27,4933.44,3,29,16,0,24.0,114.0,316.0,221.0,29.0,1
